# lr   r     rho
-2 .1e-1 110.6804246
-1.95 .1122018454e-1 95.05604866
-1.90 .1258925412e-1 81.63758843
-1.85 .1412537545e-1 70.11360351
-1.80 .1584893192e-1 60.21662381
-1.75 .1778279410e-1 51.71694174
-1.70 .1995262315e-1 44.41728090
-1.65 .2238721139e-1 38.14821723
-1.60 .2511886432e-1 32.76424661
-1.55 .2818382931e-1 28.14040788
-1.50 .3162277660e-1 24.16938236
-1.45 .3548133892e-1 20.75900309
-1.40 .3981071706e-1 17.83011567
-1.35 .4466835922e-1 15.31474105
-1.30 .5011872336e-1 13.15449772
-1.25 .5623413252e-1 11.29924676
-1.20 .6309573445e-1 9.705928014
-1.15 .7079457844e-1 8.337560820
-1.10 .7943282347e-1 7.162385555
-1.05 .8912509381e-1 6.153126571
-1.00 .1000000000 5.286359118
-.95 .1122018454 4.541965646
-.90 .1258925412 3.902668890
-.85 .1412537545 3.353630879
-.80 .1584893192 2.882108527
-.75 .1778279410 2.477157871
-.70 .1995262315 2.129380087
-.65 .2238721139 1.830703320
-.60 .2511886432 1.574195351
-.55 .2818382931 1.353902696
-.50 .3162277660 1.164712438
-.45 .3548133892 1.002233545
-.40 .3981071706 .8626949733
-.35 .4466835922 .7428581339
-.30 .5011872336 .6399417348
-.25 .5623413252 .5515572328
-.20 .6309573445 .4756534039
-.15 .7079457844 .4104687437
-.10 .7943282347 .3544905963
-.5e-1 .8912509381 .3064200640
0. 1. .2651418809
.5e-1 1.122018454 .2296985594
.10 1.258925412 .1992682076
.15 1.412537545 .1731455116
.20 1.584893192 .1507254455
.25 1.778279410 .1314893455
.30 1.995262315 .1149930446
.35 2.238721139 .1008568256
.40 2.511886432 .8875701993e-1
.45 2.818382931 .7841916731e-1
.50 3.162277660 .6961279264e-1
.55 3.548133892 .6214812532e-1
.60 3.981071706 .5587568949e-1
.65 4.466835922 .5069128521e-1
.70 5.011872336 .4655385741e-1
.75 5.623413252 .4354361102e-1
.80 6.309573445 .4210681616e-1
